row	type	crmId	cbsId
1	PERFECT_MATCH	9593cf0f-4baa-4ec6-84eb-95f8846e8ed6	960dd4b3-d78a-4774-ac86-cf096f081c3e
2	PERFECT_MATCH	2b16b88a-8322-4546-ac5e-97a2c0f87d64	f0667c49-bcd4-461d-8d12-837c5b40b6b7
3	PERFECT_MATCH	38a236f0-eba3-44d0-beb7-c91686ecbb36	06517295-698f-4859-9087-6c69b97e19c9
4	PARTIAL_MATCH	40f51f65-e421-4497-8643-4f5124130be9	43a20c0d-6ac1-423c-8295-763cbaa7a3eb
5	PERFECT_MATCH	a713e159-cf9e-4305-a85e-a1b6c102ab91	6d5d7f61-8900-45d7-afef-8422310397fc
6	PERFECT_MATCH	5fd5adf2-c94f-4d8b-a39b-bff7f2be836e	fed17dfa-a50c-4dd2-9128-afcccdfa9f3c
7	PERFECT_MATCH	7fd3bd90-fa33-42a8-953c-3dfcb4cf22c4	46a1c5ae-1c2e-4cf4-8fa3-593ec05bb9ab
8	PARTIAL_MATCH	a4214b90-11fa-4024-aa2d-143f05a47732	73be7901-56ba-4ca4-92da-cc43bf3ca1b2
9	PARTIAL_MATCH	a377823f-ed7f-4eb0-a3a2-f27a0a982cf6	480180e9-8725-4f52-baa6-bf7914386541
10	NEW	d6971191-ebf0-4644-a906-00b8035c93ec	d6971191-ebf0-4644-a906-00b8035c93ec
11	NEW	7eda2247-714e-4e1b-84f7-dad978f9b59c	7eda2247-714e-4e1b-84f7-dad978f9b59c
12	PARTIAL_MATCH	0c5f33ac-11d3-4720-ae59-f7d8729c4028	6afc316e-7cb8-43ef-bb19-eb42c3ff998c
13	PARTIAL_MATCH	a594ae0c-3711-469e-83af-bb3a7fa1f1b1	c585181b-849d-4e85-8cf4-59f5bf6d7b18
14	PARTIAL_MATCH	dba4ec5f-ad79-4410-9c41-075aa299832c	7f32eb2e-3fe0-4c6e-a332-cd46ebc9776d
15	PERFECT_MATCH	239877da-af38-4a2f-b939-5de97de67465	5329c3dc-01f4-4ef4-801f-12680a536ef3
16	PARTIAL_MATCH	0da321f5-d8de-4625-9cb8-3fddfd6aa5a2	a4b0804b-6529-4f8a-8b9a-e938b8f6c8f9
17	NEW	30fbbb00-9c6f-4f09-bab8-58f0c868df05	30fbbb00-9c6f-4f09-bab8-58f0c868df05
18	PARTIAL_MATCH	073768fc-bc1f-4d64-8f8a-9c35a5b52d63	54ab8886-5f0e-4f0b-bb6c-35ff5753c29f
19	PERFECT_MATCH	55420312-a4d8-46d7-8b57-0a4c79e2132e	49e323f0-bcf3-4846-b89f-4e2e6599aa44
20	PERFECT_MATCH	e62efc82-fb9d-4296-8a36-c378e381da49	88c9f213-2be9-435e-9926-770ad301cb87
21	PERFECT_MATCH	018a1429-42a7-4b77-8579-d96a4e650989	72592c91-c836-4fbb-8562-bbcda034a989
22	NEW	0b90963b-4e57-4bba-b30c-ff31bdbaa16f	0b90963b-4e57-4bba-b30c-ff31bdbaa16f
