row	type	crmId	cbsId
1	NEW	c053c322-1608-4fa6-808a-30db939090cd	c053c322-1608-4fa6-808a-30db939090cd
2	PARTIAL_MATCH	d0144cab-be64-426f-ac60-71d884290d7a	c6ec0517-cf09-4b9d-a862-71e24e018c87
3	PARTIAL_MATCH	c954196c-7378-4d38-bafc-a0e13930de00	1ba090d4-dc00-4ace-a429-9f0110b9a8fa
4	PARTIAL_MATCH	1a0fee07-b951-4e4d-9ded-f0842e810a29	dee78672-07ce-4cef-9379-d71ff7b5be1d
5	NEW	ca9d1128-0257-47b5-b687-a6e15f1d377f	ca9d1128-0257-47b5-b687-a6e15f1d377f
6	NEW	bfa0e468-5abb-4cea-b1da-4ac74a4509d9	bfa0e468-5abb-4cea-b1da-4ac74a4509d9
7	PARTIAL_MATCH	594dd514-bcd9-49b1-b372-f5a3f2fd336c	515d3782-7c28-47c0-b508-ebdcfa3d8bc0
8	PERFECT_MATCH	212a9038-ed34-45b9-a593-86007d49b2f9	5da31167-9674-43ac-a759-91ec5b9b3546
9	NEW	bebf5d7f-703b-41ee-ab20-e8ae47f9eb09	bebf5d7f-703b-41ee-ab20-e8ae47f9eb09
10	NEW	7f94cee3-4996-4d00-bac1-60c8b0c963be	7f94cee3-4996-4d00-bac1-60c8b0c963be
11	PARTIAL_MATCH	37d9c1dc-5598-4f72-8aa0-1e0a827a6dd3	9f5160cf-63bf-4545-bc4f-552e8b6ef529
12	NEW	5da6a569-edf9-47bd-b0c6-1fa50105f28a	5da6a569-edf9-47bd-b0c6-1fa50105f28a
13	PERFECT_MATCH	ce7d6f89-004a-4bdb-b4ed-55b7cc4ea3a7	c61e6b35-da38-4d15-adf4-8b92f081db84
14	NEW	6a1c41dd-7918-4e96-b6bf-1328720fb002	6a1c41dd-7918-4e96-b6bf-1328720fb002
15	PARTIAL_MATCH	fa27b82f-7ebe-426f-9d65-aea088fdbb9e	1f84f629-50c8-440e-bfd2-9d5656ef3b8b
16	PERFECT_MATCH	51a832ea-fbcd-40c0-8b47-72d9740a038f	07e61f72-cb35-4b12-b7c1-fa08afcc0011
